check_id	result	detail	artifact
BL067-S1-backlog_doc_exists	PASS	BL-067 runbook present	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/Documentation/backlog/bl-067-auv3-app-extension-lifecycle-and-host-validation.md
BL067-S2-annex_doc_exists	PASS	BL-067 annex spec present	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/Documentation/plans/bl-067-auv3-app-extension-lifecycle-and-host-validation-spec-2026-03-01.md
BL067-S3-skill_doc_exists	PASS	AUv3 lifecycle skill present	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/.codex/skills/auv3-plugin-lifecycle/SKILL.md
BL067-S4-adr_exists	PASS	ADR-0017 boundary contract present	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/Documentation/adr/ADR-0017-auv3-app-extension-boundary-and-lifecycle-contract.md
BL067-S5-runbook_references_lane	PASS	runbook references BL-067 QA lane	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/Documentation/backlog/bl-067-auv3-app-extension-lifecycle-and-host-validation.md
BL067-S6-cmake_auv3_gate	PASS	CMake includes explicit AUv3 gate and format token	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/CMakeLists.txt
BL067-H1-logic_pro	BLOCKED	Logic Pro not installed at /Applications/Logic Pro.app	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/TestEvidence/bl073_truthfulness_20260303T005655Z/run_1/BL067_contract_only/host_matrix.tsv
BL067-H2-garageband	BLOCKED	GarageBand not installed at /Applications/GarageBand.app	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/TestEvidence/bl073_truthfulness_20260303T005655Z/run_1/BL067_contract_only/host_matrix.tsv
BL067-H3-mainstage	BLOCKED	MainStage not installed at /Applications/MainStage.app	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/TestEvidence/bl073_truthfulness_20260303T005655Z/run_1/BL067_contract_only/host_matrix.tsv
BL067-L1-cold_start	PASS	cold_start contract text found in /Users/artbox/Documents/Repos/LocusQ-bl073-verify/Documentation/plans/bl-067-auv3-app-extension-lifecycle-and-host-validation-spec-2026-03-01.md	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/TestEvidence/bl073_truthfulness_20260303T005655Z/run_1/BL067_contract_only/lifecycle_transitions.tsv
