check_id	result	detail	artifact
BL057-C1-eq_dir_exists	PASS	eq preset directory exists	/private/tmp/locusq-bl057-evidence-20260303T161545Z/Resources/eq_presets
BL057-C2-file-airpods_pro_1_anc_on.yaml	PASS	preset file exists	/private/tmp/locusq-bl057-evidence-20260303T161545Z/Resources/eq_presets/airpods_pro_1_anc_on.yaml
BL057-C2-file-airpods_pro_1_anc_off.yaml	PASS	preset file exists	/private/tmp/locusq-bl057-evidence-20260303T161545Z/Resources/eq_presets/airpods_pro_1_anc_off.yaml
BL057-C2-file-airpods_pro_1_transparency.yaml	PASS	preset file exists	/private/tmp/locusq-bl057-evidence-20260303T161545Z/Resources/eq_presets/airpods_pro_1_transparency.yaml
BL057-C2-file-airpods_pro_2_anc_on.yaml	PASS	preset file exists	/private/tmp/locusq-bl057-evidence-20260303T161545Z/Resources/eq_presets/airpods_pro_2_anc_on.yaml
BL057-C2-file-airpods_pro_2_anc_off.yaml	PASS	preset file exists	/private/tmp/locusq-bl057-evidence-20260303T161545Z/Resources/eq_presets/airpods_pro_2_anc_off.yaml
BL057-C2-file-airpods_pro_2_transparency.yaml	PASS	preset file exists	/private/tmp/locusq-bl057-evidence-20260303T161545Z/Resources/eq_presets/airpods_pro_2_transparency.yaml
BL057-C2-file-airpods_pro_3_anc_on.yaml	PASS	preset file exists	/private/tmp/locusq-bl057-evidence-20260303T161545Z/Resources/eq_presets/airpods_pro_3_anc_on.yaml
BL057-C2-file-airpods_pro_3_anc_off.yaml	PASS	preset file exists	/private/tmp/locusq-bl057-evidence-20260303T161545Z/Resources/eq_presets/airpods_pro_3_anc_off.yaml
BL057-C2-file-airpods_pro_3_transparency.yaml	PASS	preset file exists	/private/tmp/locusq-bl057-evidence-20260303T161545Z/Resources/eq_presets/airpods_pro_3_transparency.yaml
BL057-C2-file-sony_wh1000xm5_anc_on.yaml	PASS	preset file exists	/private/tmp/locusq-bl057-evidence-20260303T161545Z/Resources/eq_presets/sony_wh1000xm5_anc_on.yaml
BL057-C2-file-sony_wh1000xm5_anc_off.yaml	PASS	preset file exists	/private/tmp/locusq-bl057-evidence-20260303T161545Z/Resources/eq_presets/sony_wh1000xm5_anc_off.yaml
BL057-C3-preamp-airpods_pro_1_anc_on.yaml	PASS	preamp_db field present	/private/tmp/locusq-bl057-evidence-20260303T161545Z/Resources/eq_presets/airpods_pro_1_anc_on.yaml
BL057-C3-preamp-airpods_pro_1_anc_off.yaml	PASS	preamp_db field present	/private/tmp/locusq-bl057-evidence-20260303T161545Z/Resources/eq_presets/airpods_pro_1_anc_off.yaml
