check_id	result	detail	artifact
BL073-PRE-helper_exists	PASS	helper library loaded	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/scripts/lib/qa_truthfulness_gate.sh
BL073-PRE-script_exists-qa-bl067-auv3-lifecycle-mac.sh	PASS	script is executable	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/scripts/qa-bl067-auv3-lifecycle-mac.sh
BL073-PRE-script_exists-qa-bl068-temporal-effects-mac.sh	PASS	script is executable	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/scripts/qa-bl068-temporal-effects-mac.sh
BL073-R1-BL067-mode_semantics	PASS	expected_exit=0;actual_exit=0;scaffold_rows=0;tsv_file_count=5	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/TestEvidence/bl073_truthfulness_20260303T005655Z/mode_semantics_contract.tsv
BL073-R1-BL067-todo_enforcement	PASS	contract-only allows TODO/SCAFFOLD rows=0	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/TestEvidence/bl073_truthfulness_20260303T005655Z/todo_row_enforcement.tsv
BL073-R1-BL068-mode_semantics	PASS	expected_exit=0;actual_exit=0;scaffold_rows=0;tsv_file_count=5	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/TestEvidence/bl073_truthfulness_20260303T005655Z/mode_semantics_contract.tsv
BL073-R1-BL068-todo_enforcement	PASS	contract-only allows TODO/SCAFFOLD rows=0	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/TestEvidence/bl073_truthfulness_20260303T005655Z/todo_row_enforcement.tsv
BL073-R2-BL067-mode_semantics	PASS	expected_exit=0;actual_exit=0;scaffold_rows=0;tsv_file_count=5	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/TestEvidence/bl073_truthfulness_20260303T005655Z/mode_semantics_contract.tsv
BL073-R2-BL067-todo_enforcement	PASS	contract-only allows TODO/SCAFFOLD rows=0	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/TestEvidence/bl073_truthfulness_20260303T005655Z/todo_row_enforcement.tsv
BL073-R2-BL068-mode_semantics	PASS	expected_exit=0;actual_exit=0;scaffold_rows=0;tsv_file_count=5	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/TestEvidence/bl073_truthfulness_20260303T005655Z/mode_semantics_contract.tsv
BL073-R2-BL068-todo_enforcement	PASS	contract-only allows TODO/SCAFFOLD rows=0	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/TestEvidence/bl073_truthfulness_20260303T005655Z/todo_row_enforcement.tsv
BL073-R3-BL067-mode_semantics	PASS	expected_exit=0;actual_exit=0;scaffold_rows=0;tsv_file_count=5	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/TestEvidence/bl073_truthfulness_20260303T005655Z/mode_semantics_contract.tsv
BL073-R3-BL067-todo_enforcement	PASS	contract-only allows TODO/SCAFFOLD rows=0	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/TestEvidence/bl073_truthfulness_20260303T005655Z/todo_row_enforcement.tsv
BL073-R3-BL068-mode_semantics	PASS	expected_exit=0;actual_exit=0;scaffold_rows=0;tsv_file_count=5	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/TestEvidence/bl073_truthfulness_20260303T005655Z/mode_semantics_contract.tsv
BL073-R3-BL068-todo_enforcement	PASS	contract-only allows TODO/SCAFFOLD rows=0	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/TestEvidence/bl073_truthfulness_20260303T005655Z/todo_row_enforcement.tsv
BL073-POLICY-promotion_gate_policy	PASS	promotion blocker policy emitted	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/TestEvidence/bl073_truthfulness_20260303T005655Z/promotion_gate_policy.md
lane_result	PASS	bl073_truthfulness_gates_passed mode=contract_only runs=3	/Users/artbox/Documents/Repos/LocusQ-bl073-verify/TestEvidence/bl073_truthfulness_20260303T005655Z/status.tsv
